kf_Location ID,Place ID,place_needs_review,place_reported_closed,place_no_url_title,multiple_location_unique_name,place parent id,place_tags,phone,email
44,44,,,,,,"Declaration of Independence, Tidal Basin, West Potomac Park",(202) 426-6841,
45,45,,,,Boston,,"african american, black, history, civil rights, african meeting house, abiel smith school, black heritage trail",617-725-0022,history@maah.org
46,46,,,,,,"Smithsonian Information Center, the Castle, Enid A. Haupt Garden",(202) 633-1000,
47,47,,,,,,"museum, gibson, house, historic, back bay",617-267-6338,info@thegibsonhouse.org
48,48,,,,,,"African-American experience, Upper South",(202) 633-4820,
49,49,,,,,,"Asian art, Freer, National Museum of Asian Art",(202) 633-4880,
50,50,,,,,,"JFK, John, Kennedy, Historic home, house",(617) 566-7937,
51,51,,,,,,"National Mall, Sculpture Garden",(202) 633-4674,
52,52,,,,National Mall Building,,"MAX Films, Albert Einstein planetarium, cosmic collisions, how things fly, skylab orbital workshop, flight simulators, beyond the limits: flight enters the computer age, explore the universe, 1903 flyer, america by air",202.633.2214,
53,53,,,,,,"Eliot Elisofon Photographic Archives, Walt Disney-Tishman African art collection",(202) 633-4600,
54,54,,,,,,American Indian Experience,(202) 633-1000,
55,55,,,,,,"Declaration of Independence, Star-Spangled Banner, The American Presidency, First Ladies, Americans at War",(202) 633-1000,
56,56,,,,,,"nichols, museum, rose, women, woman",617.227.6993,info@nicholshousemuseum.org
58,58,,,,,,"artifacts, specimens, Ice Age, Hope Diamond, fossil collection, dinosaur hall, Insect Zoo, Discovery Center, IMAX Theatre",(202) 633-1000,
59,59,,,,,,"arboretum, garden, plants, nature, preserve, botany, science",617.524.1718,arbweb@arnarb.harvard.edu
60,60,,,,,,"longellow, historic site, poets, siege of boston, george washington",(617)876-4491,
61,61,,,,,,"natural history, nature, museum, exhibits, animals, plants, birds,",617.495.3045,hmnh@oeb.harvard.edu
62,62,,,,,,"museum, anthropology, archaeology, ethnology, Harvard",(617) 496-1027,pmresrch@fas.harvard.edu
63,63,,,,,,"art, museum, harvard, fogg, busch-reisinger, arthur m. sackler",(617) 495-9400,
64,64,,,,,,"architecture, mit, buildings, college, university",617-253-3935,scrowley@mit.edu
65,65,,,,,,"museum, robots, AI, science, technology",617-253-5927,Museuminfo@mit.edu
66,66,,,,,,"art, contemporary, visual, architecture, mit",617-253-4680,
67,67,,,,,,"pastry, bakery, sweets, desserts, cannoli, cafe",617-742-3050,
68,68,,,,,,Midtown,(212) 245-1800,reservations@blakelynewyork.com
69,69,,,,,,"National Zoo, pandas, Education Building",(202) 633-4800,
70,70,,,,,,"luxury, boutique, Times Square, Midtown",877-452-6352,info@hotelmela.com
71,71,,,,,,"crafts and decorative arts, White House, lectures, musical performances",(202) 633-2850,
72,72,,,,,,"luxury, MoMA, City Center, Rockefeller Center",866-690-2029,
73,73,,,,,,"foot, walking, tours,",(617) 720- 2345,info@bostonbyfoot.org
74,74,,,,Renwick Gallery,,"presidents, cultural figures, scenes from American history and way of life; Penn Quarter neighborhood",202.633.5285,
75,75,,,,,,"luxury, Central Park, Fifth Avenue",212-245-5000,reservations@parkermeridien.com
76,76,,,,,,"wildlife, nature, preserve, natural, history, conservation, animals, birds, audubon",800-AUDUBON,webmaster@massaudubon.org
77,77,,,,,,"currency, postage stamps, presidential portraits, White House invitations",(800) 874.2330,
78,78,,,,,,"Theater District, MoMA, Rockefeller Center, Midtown, luxury",(212) 765-1900,reservations@michelangelohotel.com
79,79,,,,,,"children, museum, young, kids",(617) 426-8855,info@BostonChildrensMuseum.org
80,80,,,,,,"boutique, Times Square, Theater District",212.485.2400,
81,81,,,,,,"original documents, Declaration of Independence, Constitution, Bill of Rights, Public Vaults",(202) 357-5000,
82,82,,,,,,"Western paintings, sculpture, graphic arts",,
83,83,,,,,,"animals, zoo, wildlife, butterflies, birds, lions, tigers, giraffes",617-541-LION,
84,84,,,,,,Jewish experience,(202) 488-0400,
85,85,,,,,,"symphony, music, orchestra,",888-266-1492,customerservice@bso.org
86,86,,,,,,"first museum in D.C., American art, Dutch and Flemish art, European painters, French impressionists",(202) 639-1700,
87,87,,,,,,"Midtown, stylish",800.553.3347,sales@shorehamhotel.com
88,88,,,,,,"tours, DUCK, WWII,",,Info@BostonDuckTours.com
89,89,,,,,,"collection of books, paints and engravings, manuscripts; Elizabethan Garden, Great Hall",(202) 544-4600,
90,90,,,,,,"luxury, Midtown, small",212.921.5500,reservations@cityclubhotel.com
91,91,,,,,,President Abraham Lincoln asasination,(202) 426-6925,
92,92,,,,,,"luxury, Midtown, European decor",800-332-7220,reservations@iroquoisny.com
93,93,,,,,,"trolley, tours, history, no walking",,
94,94,,,,,,"small, Midtown",888.922.7225,rooms@casablancahotel.com
95,95,,,,,,"harbor, cruise, tour, boat, water,",,contact@bostonharborcruises.com
96,96,,,,,,"Contemporary Latin and Caribbean artists, Aztec garden",(202) 458-6016,
97,97,,,,,,"bay, water, boat, tour, wharf",,info@massbaylines.com
98,98,,,,,,"Midtown, modern decor, minimalist, luxury",212.703.8600,info@hotel41nyc.com
99,99,,,,,,"inexpensive, Union Square, budget",(212) 475-2845,info@hotel17ny.com
100,100,,,,,,"river, tour, cruise, locks, boats, ships,",,
101,101,,,,,,"Herald Square, modern, Art Deco, retro",(212) 947-2500,info@hotelmetronyc.com
102,102,,,,,,"bay, cruise, water, boats, ships, provincetown, ferry",,
103,103,,,,,,Hell's Kitchen,888-567-7550,reservations@wjhotel.com
104,104,,,,,,"court, supreme, legal system, law",617-557-1000,
105,105,,,,,,"affordable, West Side, pool",212-586-3400,skylinehot@aol.com
106,106,,,,,,"bike, tours, bicycle, pedal pushers, rentals,",,info@urbanadventours.com
107,107,,,,,,"luxury, airy, Midtown",212-715-2500,information@affinia.com
108,108,,,,,,"luxury, landmark, Beaux Arts, antique furniture",(212) 753-4500,stregisny@stregis.com
109,109,,,,,,"movies, tours, hollywood, blockbuster,",,info@bostonmovietours.net
110,110,,,,,,"luxury, Central Park, boutique",877-743-7710,
111,111,,,,,,"food, culinary, italy, italian, north end, market,",617.523.6032,michele@micheletopor.com
112,112,,,,,,"Midtown, stylish, original, boutique, Bryant Park, Grand Central",212.338.0500,reserve@dylanhotel.com
113,113,,,,,,"luxury, intimate, Midtown",(212) 753-1066,hotelres@elyseehotel.com
114,114,,,,,,"sports, golf, country club,",617-630-1950,sterlinggolf@aol.com
115,115,,,,,,"sports, golf, fresh pond, pond",617-349-6282,rcarey@freshpondgolf.com
116,116,,,,,,Midtown,212-885-7007,reservations@kitano.com
117,117,,,,,,"gym, sports, racquet, squash, exercise, club",617-482-8881,eliskow@fitcorp.com
118,118,,,,,,"unique, boutique, small, smoke free, books, Grand Central Station",212-983-4500,reservations@libraryhotel.com
119,119,,,,,,"Midtown, Murray Hill, boutique",212-448-7000,
120,120,,,,,,"luxury, boutique, Grand Central Station, Midtown",212.973.2400,
121,121,,,,,,"luxury, grand",212.355.3000,
122,122,,,,,,"inexpensive, Midtown",(212) 683-5890,contactus@hotelgrandunion.com
123,123,,,,,,"Midtown, affordable",(212) 689-1900,info@thirtythirty-nyc.com
124,124,,,,,,"Murray Hill, Midtown",(212) 545-0879,
125,125,,,,,,"Upper West Side, luxury",(212) 362-9200,hotelexcel@aol.com
126,126,,,,,,Upper West Side,212-787-1100,reservations@beaconhotel.com
127,127,,,,,,"Upper West Side, river views, moderate",212.875.1000,reservations@thelucernehotel.com
128,128,,,,,,"Upper West Side, affordable, chic",212.362.7700,reservations@hotelbelleclaire.com
129,129,,,,,,"luxury, Upper East Side",212.744.1600,thecarlyle@rosewoodhotels.com
130,130,,,,,,"luxury, Upper East Side",212-734-9100,res@plaza-athenee.com
131,131,,,,,,"luxury, elegant",212.838.1400,reservations@lowellhotel.com
132,132,,,,,,Chelsea,212-243-9669,
133,133,,,,,,"Upper West Side, quiet, small",212-580-4183,
134,134,,,,,,,(718) 455-5958,info@akwaaba.com
135,135,,,,,,Brooklyn,(718) 499-6115,
136,136,,,,,,"American furnishings, decorative arts",(202) 879-3241,
137,137,,,,,,"Lafayette Park, historic house, Federalist and Victorian furnishings",(202) 842-0920,
138,138,,,,,,"Historic house museum, 18th and 19th-century English and American furniture, decorate arts",(202) 337-2288,
139,139,,,,,,Residence of abolitonist,(202) 426-5961,
140,140,,,,,,"Estate of Marjorie Merriweather Post, formal gardens, 18th-century French and Imperial Russian art and artifacts",(202) 686-8500,
141,141,,,,,,International art gallery,,
142,142,,,,,,"exhibits agencies works, national parks, land management, Indian affairs, fish and wildlife services, environmental protection",(202) 208-4743,
143,143,,,,,,"art from 1850's through 1970's, impressionist, American artists",(202) 338-3552,
144,144,,,,,,"African-American activist/educator, black and women's rights",(202) 6732402,
145,145,,,,,,"architecture, building, historic preservation",(202) 272-2448,
146,146,,,,,,"exploration, adventure, earth sciences, interactive programs, artifacts",(202) 857-7588,
147,147,,,,,,"oldest structure in D.C., colonial structure, English garden",(202) 426-6851,
148,148,,,,,,"women's suffrage movement, women's history",(202) 546-3989,
149,149,,,,,,"historic and contemporary handmade textile arts, John Russell Pope mansion",(202) 667-0441,
150,150,,,,,,"Martha Washington, gardens, mansion",(202) 965-0400,
151,151,,,,,,"U.S. Navy, ships, aircraft, history",(202) 737-2300,
152,152,,,,,,"president residence, noteworthy objects",(202) 387-4062,
153,153,,,,,,"history of spying, famous spies, code-breaking, artifacts, Operation Spy, CIA",(202) 393-7798,
154,154,,,,,,"National Academy of Science, Wonders of Science, Global Warming, Infectious Disease",(202) 334-1201,
155,155,,,,,,women's art,(202) 783-5000,
156,156,,,,,,"modern art, impressionist, modernist, Renoir masterpiece, gallery talks, concerts",(202) 387-2151,
157,157,,,,,,"performing arts center, memorial, tours, Hall of Nations, Concert Hall, Israeli Room, Grand Foyer, Eisenhower Theater, Performing Arts Library",(202) 467-4600,
158,158,,,,,,"world's largest library, books, manuscripts, prints, photographs, movies, videotapes, musical instruments, letters, oral history, photographs, Veterans History Project, Thomas Jefferson Building, Bob Hope Gallery of American Entertainment, Coolidge Auditorium, Madison Building, Mary Pickford Theater",(202) 707-8000,
159,159,,,,,,"Metro Station, MARC, Amtrak, Main Hall, East Hall, food court, shopping, cinema complex",202.289.1908,
160,160,,,,,,"park, boston common, frog pond, ice skating, swimming, pond",(617) 635-2120,Parks@ci.boston.ma.us
161,161,,,,,,"ice skating, skating, ice rink,",617-492-0941,contact@kendallsquare.org
162,162,,,,,,"boating, water, boats, ships, racing, navigation, sailors, yacht, sail boats",617-523-1038,info@community-boating.org
163,163,,,,,,"sailing, water, sports, race, racing, sail boats, ships, sailors, recreation",617.227.4198,info@bostonsailingcenter.com
164,164,,,,,,"sports, museum, venue, NBA, NHL, Bruins, Celtics, concerts",(617) 624-1050?,customerservice@tdbanknorthgarden.com
165,165,,,,,,"sports, museum, history, legends, New England",617.624.1234,
166,166,,,,,,"baseball, fenway park, red sox, sports,",877-REDSOX9,
167,167,,,,,,"horse racing, racing, wages, bets, gamble, track, jockey",(617) 567-3900,publicity@suffolkdowns.com
168,168,,,,,,"french, food, fine dining, wine,",617-720-1300,info@seldelaterre.com
169,169,,,,,,"seafood, crab, ocean, harbor, food, fresh, wine, lobster",617-426-CRAB,gm@barkingcrab.com
170,170,,,,,,"cafe, desserts, sweets, italian, liquor, pastries, full bar, classic",617-227-7606,info@vittoriacaffe.com
171,171,,,,,,"italian, northern, wine, antipasto, calamari, duck",617.523.0077,mammamaria@bicnet.net
172,172,,,,,,"chinese, pan-asian, cuisine, asian, oriental, japanese, sushi, sesame chicken",617-227-9990,
173,173,,,,,,"french, bistro, wine bar",617.542.5108,
174,174,,,,,,"wine, beer, pizza, grill, pasta, pork",617-259-1560,
175,175,,,,,,"oysters, seafood, clams, scallops, new england, salmon, chowder",617-227-2750,info@unionoysterhouse.com
176,176,,,,,,"new england, food, classic, lamb chops, grilled, boston baked beans",(888) 766-6528,seanadpark30@aol.com
177,177,,,,,,"fish cakes, salmon, steak, chops, roast beef hash, unique",(617) 542.1340,info@lockeober.com
178,178,,,,,,"tex-mex, mexican, fajitas, margaritas, quesadillas, burritos, nachos, tequila",617-426-1222,
179,179,,,,,,"french, bistro, cuisine, oysters, goat cheese, duck, lamb",617.742.9991,info@no9park.com
180,180,,,,,,"ken oringer, raw bar, clams, oysters, sashimi, shrimp, caesar, calves brains",617-772-0202,
181,181,,,,,,"crab, ricotta, sausage, pasta, tomatoes, gorgonzola,",617-227-3434,
182,182,,,,,,"very expensive, wine bar, fine dining, french, duck",617-695-9463,info@troquetboston.com
183,183,,,,,,"german, american, landmark, old, european, clam chowder, beer club, bratwurst, jaeger",617-338-8586,jblass@jacobwirth.com
184,184,,,,,,"bistro, french, steak, spirits, wine, liquor, greens, vegetarian",617.423.2700,info@hamersleysbistro.com
185,185,,,,,,"wine, contemporary, lamb, loin, black cod, jazz, live music",617.426.1790,rschwolow@aol.com
186,186,,,,,,"southern, cajun, jazz, live music, cocktails",617-536-6204,info@BobsSouthernBistro.com
187,187,,,,,,"pizza, pizzeria, pepperoni, neapolitan,",617-927-0066,
188,188,,,,,,"steak, wine, bar, raw bar, chowder, beef, meat",617.542.2255,
189,189,,,,,,"french, bistro, cuisine, very expensive, upscale, high-end",617 262 3023,info@lespalier.com
190,190,,,,Boston,,"hotel restaurant, bistro, bar, wine bar, classy",(617) 338-4400,
191,191,,,,,,,,
192,192,,,,,,"italian, beef, steak",(617) 357-4810,
193,193,,,,,,"Cathedral Church of St. Peter and Paul, guided tour, observation gallery, recitals, choir performances, flower mart, concerts, 53-bell carillon",(202) 537-6200,
194,194,,,,,,"the tomb of the unknowns, arlington house, pierre charles l'enfant's grave, gravesite of John Fitzgerald Kennedy, women in military service for America memorial, education center, hall of honor",(703) 607-8000,
195,195,,,,,,"formal gardens, research center, Byzantine and pre-Colombian art and history, Rock Creek Ravine",(202) 339-6401,
196,196,,,,,,"grabd conservatory, plants, ecology, evolutionary biology of plants, The Jungle, Orchid Room, First Ladies Water Garden, Bartholdi Park",(202) 225-8333,
197,197,,,,,,"candy, sweets, chocolate, sugar",(617) 266-6969,sapers@aol.com
198,198,,,,,,"cherry blossoms, Tidal Basin, West Potomac Park, East Potomac Park",(202) 485-9880,
199,199,,,,,,"breakfast, eggs, sausage, bacon, ham, omelet, pancakes, french toast",617-975-0075,
200,200,,,,,,"jody adams, sicilian, mediterranean, wine, liquor, bluefish, antipasti, leeks, risotto, ricotta",617.661.5050,
201,201,,,,,,"valleys, ravines, forests, open fields, Potomac River, Old Stone House, Carter Brown Amphitheater, Dumbarton Oaks, Nature Center, Planetarium",,
202,202,,,,,,"club bar, dinner parties, romantic, afternoon tea",617-864-1933,info@upstairsonthesquare.com
203,203,,,,,,"bar, drink, beer, wine, alcohol, black cod, steak, duck, chicken",617-876-0999,
204,204,,,,,,"indian, bombay, vegetarian, live shows, buffet, tandoori",(617) 661-8100,vkapoor1@hotmail.com
205,205,,,,,,"wine bar, italina, mediterranean, regulars, local",617-494-9034,
206,206,,,,,,"chocolate, dessert, gourmet, artisan, pastries, coffee, hot chocolate",617-491-4340,
207,207,,,,,,"spanish, tapas, late night bar, mexican",617-661-3254,dalirestaurant@verizon.net
209,209,,,,,,"dinner, mediterranean, wine, dessert, mussels, cod, lamb",617.661.0505,info@oleanarestaurant.com
210,210,,,,,,"tours, on foot",(202) 626-0017,
211,211,,,,,,"algerian, tunisian, mediterranean, sandwiches, salads, kemiette, meze, tapas",617.868.3951,
212,212,,,,,,"tour of major sites, 24 attractions, narrated by National Park Service",(202) 554-5100,
213,213,,,,,,"afghan, vegetarian, coffe, tea, wine, liqueurs,",617-492-4646,
214,214,,,,,,"French, upscale, contemporary",212.966.6960,inq@chanterellenyc.com
215,215,,,,,,"BBQ, barbecue, late night, open late, kids, grilled",617-628-2200,mail@redboes.com
216,216,,,,,,"variety of boat trips, dinner, lunch,brunch, moonlight dance cruises, half-day excursions, Mount Vernon",(202) 554-8000,
217,217,,,,,,"French, upscale",212.966.4900,anyfrere@capsoutofreres.com
218,218,,,,,,"mexican, spanish, brunch, sangria, family",(617) 623-5411,tuyyo@comcast.net
219,219,,,,,,"steak, cafe, Wall Street",212-785-9200,info@harrysnyc.com
220,220,,,,,,"cruises, lunch, evening dinner/dance, special charter cruises, Old Town Alexandria",(703) 683-6076,
221,221,,,,,,"French, Mediterranean, Tribeca",212.343.3883,
222,222,,,,,,"deli, sandwich, brunch, breakfast",617-354-0777,info@sandsrestaurant.com
223,223,,,,,,"Greek, Tribeca",212.941.7661,
224,224,,,,,,"pasta, seafood, pizza, moderate",212-334-0200,bread@breadtribeca.com
225,225,,,,,,"home cooking, Tribeca, brunch",212.219.0666,
226,226,,,,,,"cruises, lunch, Sunday brunch, dinner excursions, live entertainment",(866) 306-2469,
227,227,,,,,,Little Italy,212-226-8133,
228,228,,,,,,"tours, Admiral Tilp, Miss Christin, Matthew Hayes",(877) 511-2628,
229,229,,,,,,"small plates, panini, tramezzini",212-614-0473,
230,230,,,,,,"Nightingale, Washington Harbour, narrated tour, National Airport, picnic",(301) 460-7447,
231,231,,,,,,"Italian, Lower East Side",212-614-7252,
232,232,,,,,,"Sicilian, SoHo",(212) 633-9333,info@danirestaurant.com
15,233,,,,,,upscale,212.219.2000,
234,234,,,,,,"Filipino, Asian",(212) 343-9012,amy@cendrillon.com
235,235,,,,New York,,Roman,212.982.5089,
237,237,,,,,,spicy,212.979.8787,info@bricklanecurryhouse.com
238,238,,,,,,"harbor, rowes wharf, hotel, spa, cafe, marina, water taxi,",617.439.7000,sales@bhh.com
239,239,,,,,,"biking tours, Capital Sites Ride, mountain bicycle rentals, guided",,
240,240,,Yes,,,,"tapas, Spanish",(212) 929-8210,
241,241,,,,,,bike rentals,(202) 244-0461,
242,242,,,,,,"smoke-free, swimming pool fitness center, valet",617-227-0800,
243,243,,,,,,bike rentals,(202) 333-4861,
244,244,,,,,,"spa, health club, hotel, luxury, dining, waterfront, harbor",617-747-1000,icboston@ihg.com
245,245,,,,,,bike rentals,(202) 337-0254,
246,246,,,,,,"Provencal, French, Meatpacking District, garden",212.463.8345,
247,247,,,,,,"boat rentals, paddle boat, tidal basin",,
248,248,,,,,,"inn, freedom trail, moderate, harbor",617-723-7500,information@harborsideinnboston.com
249,249,,,,,,upscale,212.328.0000,
250,250,,,,,,"West Village, trattoria",212.924.9700,
251,251,,,,,,"hotel, hilton, coffee service, web t.v., umbrellas, robes, min-bar, telephones",617-556-0006,
252,252,,,,,,"light fixtures, iron fencing, chandelier glass",(202) 332-3370,
253,253,,,,,,"Asian, chic",212.989.6699,
254,254,,,,,,"furnishings, decorative arts, mirrors, sconces",(202) 342-3600,
256,256,,,,,,"Art Nouveau, Art Deco, Liberty Arts and crafts, Louis Icart etchings",(202) 337-2224,
257,257,,,,,,,212.924.4440,
258,258,,,,,,,,
259,259,,,,,,"furnishings, fabrics, decorative accessories, paintings, prints, porcelains, lampshade shop, garden shop, framing studio",(202) 625-9199,
260,260,,,,,,1930's-1970's collectibles,(202) 483-1218,
261,261,,,,,,"American and European prints, political cartoons, maps, historical documents",(202) 965-1818,
262,262,,,,,,"historic, luxufry, parker's restaurant, boston cream pie, fitness center, free maps, get fit kit, ATM, check cashing, bar, 24-hour room service, wireless internet, kids, pets, safe deposit boxes, translation services",(617) 227-8600,
263,263,,,,,,"Georgetown, American, English and European paintings; garden items of the late 18th and 19th centuries",(202) 333-1511,
264,264,,,,,,"free chauffeur, 24-hour room service, wine cellar, steakhouse, valet laundry, soa, voicemail, cable, HBO, valet, wireless internet",1.877.982.3226,hotel@xvbeacon.com
265,265,,,,,,"small art gallery, photography, contemporary artists",,
266,266,,,,,,"bathrobes, HD-LCD television, wireless internet, private bar, safes",617-224-4000,reservations@libertyhotel.com
267,267,,,,,,"boutique, bar, ruby room, european, pets, concierge, wine, wireless internet, valet, laundry, fitness center, kids",617-557-9955,
268,268,,,,,,"small art gallery/cooperative, paintings, pottery, sculpture, photographs, collage, prints",,
269,269,,,,,,"artist-owned gallery, local and professional artists",,
270,270,,,,,,"national and regional artists, 19th century to present, paintings, sculptures, fine arts",,
271,271,,,,,,"business center services, concierge, tapas bar and lounge, fitness center, voice mail, high-speed internet, valet, laundry",(617) 624-0202,bulfinchfom@ih-corp.com
272,272,,,,,,"famous artists, photographs of celebrities",,
273,273,,,,,,"smoke-free, complimentary hot breakfast, cafe, wireless internet, kitchen,",1-617-242-9000,
274,274,,,,,,"allergy-friendly, sedan service bakery, cafe, safety deposit boxes, gift shop, florist, pets, smoke-free",(617) 385-4000,
275,275,,,,,,"dance studio, theater lab, office space, art gallery, emerging local artists, video, sculpture, photography, drawings",,
276,276,,,,,,"smoke-free, wireless internet, concierge, fitness center, golf school, indoor pool, free newspaper, playhouse, wake-up service",(617) 482-1800,
277,277,,,,,,"contemporary furniture and design store, co-op studio, contemporary artists",,
278,278,,,,,,"standard queen, satellite television, alarm clock radio, telephone, voice mail, boutique, wireless internet",617.482.3450,inn3450@ix.netcom.com
279,279,,,,,,"small art gallery, annual humor shows, neon exhibits, realism, abstract expressionism, landscapes, artistic housewares, clever jewlery",,
280,280,,,,,,"apothecary, spa, facial, massage, waxing, makeup treatments, high-end beauty products",(202) 965-1300,
281,281,,,,,,"women, hostel, 24-hour security, shared facilities",617-375-2524,rooms_berkeley@ywcaboston.org
282,282,,,,,,"barber shop, grooming tools",(202) 466-8900,
283,283,,,,,,"celebrity clientele, cuts and coloring",,
284,284,,,,,,"technology butler, wireless internet, free car service, restaurants, sports club, bar, concierge, laundry, valet, lounge, in-room massage, dry cleaning",617-536-5700,taj.boston@tajhotels.com
285,285,,,,,,"wireless internet, cable, 24-hour room service, alarm clock, voice mail, fitness center, concierge",617.426.2000,
286,286,,,,,,"pedicures, facials, yoga classes, massages, workout facility, spa treatments",(202) 965-2121,
287,287,,,,,,"new and backlisted fiction, regular events, author readings, tea available",(202) 737-5553,
288,288,,,,,,"LCD t.v., DVD player, coffee makers, ipod docking, pillow top, roof top pool, live events, bar",(617) 424-7000,
289,289,,,,,,"first bookstore/café in D.C., live music, paperback fiction",(202) 387-1400,
290,290,,,,,,"robes, cotton linens, mini-bars, cribs, 24-hour room service, restaurant, wireless internet, voice mail, boston sports club, dry cleaning, pet sitting, baby sitting, 24-hour room service, valet",617-267-1607,email@eloithotel.com
291,291,,,,,,"fiction and nonfiction, children's department, author readings, coffeehouse",(202) 364-1919,
292,292,,,,,,"used books, out of print, small-press publications, CD's, vinyl, collection of antique French and American advertising posters",(202) 659-8884,
293,293,,,,,,"wireless internet, concierge, valet, laundry, shoe shine, fitnes center, 24-hour room service, restaurant, spa, bar, lounge",617.536.5300,info@lenoxhotel.com
294,294,,,,,,"wireless internet, smoke-free, sports bar, starbucks, restaurant, lounge, sushi bar, ATM, concierge, foreign exchange, free newspaper, 24-hour room service, safe deposit boxes, dry cleaning, shoeshine,",617-236-5800,
295,295,,,,,,"a la carte, spa, chocolate, sam adams, beer, complimentary breakfast, fitness center, in-house activities",617.437. 9300,
296,296,,,,,,"view, charles river, coffeemaker, minibar, video games, cable, HBO, CNN, ESPN, breakfast, pets, fitness center, pool",617-236-1100,
297,297,,,,,,"wireless internet, grille, restaurant, irish bar, coffee bar, fitness center, refrigerator, valet, CD player, bathrobes, cribs, heated towel racks, umbrella, in-room safes",(617) 266 7200,
298,298,,,,,,"golf, lounge, atlantis sports club, indoor/outdoor pool, bar, grille, cafe, starbucks",617-236-2000,
299,299,,,,,,"fitness center, spa, wireless internet, kids, unwind, bar, sushi, lounge, restaurant, starbucks",(617) 262-9600,
300,300,,,,,,"restaurant, clubs, night life, lounge, mini bar, 24-hour room service, wireless internet, concierge, bedtime stories, valet, printing service, in-room spa, spa, fitness salon, mp3 players for rent, wine, free coffee",617-536-9000 |,
301,301,,,,,,"wireless internet, printer, fax, fitness room, grill, concierge, laundry, non-smoking, function rooms",617-585-5600,stay@hotel140.com
302,302,,,,,,"architects, theory and history books, coffee-table architectural photograph books, gifts",(202) 626-7475,
